giorno,pasto,alimenti,carboidrati,grassi,proteine,note
Lunedì,Colazione,Yogurt greco con muesli e frutta fresca,45,12,20,
Lunedì,Spuntino Mattina,Mela e mandorle,20,8,3,
Lunedì,Pranzo,Pasta integrale con pomodoro e basilico + insalata mista,75,15,25,
Lunedì,Spuntino Pomeriggio,Barretta proteica,25,8,15,
Lunedì,Cena,Petto di pollo alla griglia con verdure al vapore e riso,50,10,40,
Martedì,Colazione,Pane tostato con avocado e uovo,35,18,15,
Martedì,Spuntino Mattina,Banana,27,0,1,
Martedì,Pranzo,Insalata di quinoa con verdure e feta,55,16,22,
Martedì,Spuntino Pomeriggio,Yogurt con miele,20,5,10,
Martedì,Cena,Salmone al forno con patate dolci e broccoli,40,20,35,
Mercoledì,Colazione,Porridge con banana e cannella,50,8,12,
Mercoledì,Spuntino Mattina,Noci miste,5,15,5,
Mercoledì,Pranzo,Risotto ai funghi con parmigiano,65,14,18,
Mercoledì,Spuntino Pomeriggio,Frullato di frutta,30,2,8,
Mercoledì,Cena,Merluzzo con verdure grigliate e cous cous,45,12,38,
Giovedì,Colazione,Pancake integrali con mirtilli,40,10,15,
Giovedì,Spuntino Mattina,Carote e hummus,15,8,5,
Giovedì,Pranzo,Piadina con tacchino e verdure,50,15,28,
Giovedì,Spuntino Pomeriggio,Crackers con ricotta,22,7,8,
Giovedì,Cena,Polpette di lenticchie con insalata e pane,55,12,30,
Venerdì,Colazione,Smoothie bowl con granola,45,10,18,
Venerdì,Spuntino Mattina,Pera,25,0,1,
Venerdì,Pranzo,Spaghetti aglio olio e peperoncino con tonno,70,16,28,
Venerdì,Spuntino Pomeriggio,Cioccolato fondente e frutta secca,18,14,4,
Venerdì,Cena,Tagliata di manzo con rucola e pomodorini,20,18,42,
Sabato,Colazione,Cornetto integrale con marmellata e cappuccino,48,12,10,
Sabato,Spuntino Mattina,Spremuta d'arancia,22,0,2,
Sabato,Pranzo,Lasagna di verdure,60,20,25,
Sabato,Spuntino Pomeriggio,Gelato alla frutta,30,6,3,
Sabato,Cena,Pizza margherita con insalata,65,18,22,
Domenica,Colazione,Uova strapazzate con pane e pomodori,30,16,20,
Domenica,Spuntino Mattina,Frutta di stagione,20,0,1,
Domenica,Pranzo,Arrosto di vitello con patate al forno,45,22,38,
Domenica,Spuntino Pomeriggio,Torta della nonna (fetta piccola),35,12,6,
Domenica,Cena,Minestrone con crostini e parmigiano,40,10,15,
